"Notes"	"State"	"State Code"	"County"	"County Code"	"Year"	"Year Code"	"Month"	"Month Code"	"Race"	"Race Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"Jefferson County, AL"	"01073"	"2014"	"2014"	"Jan., 2014"	"2014/01"	"White"	"2106-3"	11	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jefferson County, AL"	"01073"	"2014"	"2014"	"Feb., 2014"	"2014/02"	"White"	"2106-3"	12	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jefferson County, AL"	"01073"	"2014"	"2014"	"Mar., 2014"	"2014/03"	"White"	"2106-3"	13	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jefferson County, AL"	"01073"	"2014"	"2014"	"Apr., 2014"	"2014/04"	"White"	"2106-3"	10	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jefferson County, AL"	"01073"	"2014"	"2014"	"Jun., 2014"	"2014/06"	"White"	"2106-3"	10	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jefferson County, AL"	"01073"	"2014"	"2014"	"Aug., 2014"	"2014/08"	"White"	"2106-3"	16	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jefferson County, AL"	"01073"	"2014"	"2014"	"Oct., 2014"	"2014/10"	"White"	"2106-3"	10	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jefferson County, AL"	"01073"	"2014"	"2014"	"Dec., 2014"	"2014/12"	"White"	"2106-3"	10	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jefferson County, AL"	"01073"	"2015"	"2015"	"Apr., 2015"	"2015/04"	"White"	"2106-3"	12	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jefferson County, AL"	"01073"	"2015"	"2015"	"Sep., 2015"	"2015/09"	"White"	"2106-3"	12	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jefferson County, AL"	"01073"	"2016"	"2016"	"Feb., 2016"	"2016/02"	"White"	"2106-3"	12	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jefferson County, AL"	"01073"	"2016"	"2016"	"Jun., 2016"	"2016/06"	"White"	"2106-3"	19	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jefferson County, AL"	"01073"	"2016"	"2016"	"Jul., 2016"	"2016/07"	"White"	"2106-3"	10	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jefferson County, AL"	"01073"	"2016"	"2016"	"Nov., 2016"	"2016/11"	"White"	"2106-3"	10	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jefferson County, AL"	"01073"	"2016"	"2016"	"Dec., 2016"	"2016/12"	"White"	"2106-3"	11	Not Applicable	Not Applicable
	"Arizona"	"04"	"Maricopa County, AZ"	"04013"	"2009"	"2009"	"Feb., 2009"	"2009/02"	"White"	"2106-3"	14	Not Applicable	Not Applicable
	"Arizona"	"04"	"Maricopa County, AZ"	"04013"	"2009"	"2009"	"Mar., 2009"	"2009/03"	"White"	"2106-3"	27	Not Applicable	Not Applicable
	"Arizona"	"04"	"Maricopa County, AZ"	"04013"	"2009"	"2009"	"Apr., 2009"	"2009/04"	"White"	"2106-3"	25	Not Applicable	Not Applicable
	"Arizona"	"04"	"Maricopa County, AZ"	"04013"	"2009"	"2009"	"May, 2009"	"2009/05"	"White"	"2106-3"	34	Not Applicable	Not Applicable
	"Arizona"	"04"	"Maricopa County, AZ"	"04013"	"2009"	"2009"	"Jun., 2009"	"2009/06"	"White"	"2106-3"	19	Not Applicable	Not Applicable
	"Arizona"	"04"	"Maricopa County, AZ"	"04013"	"2009"	"2009"	"Jul., 2009"	"2009/07"	"White"	"2106-3"	29	Not Applicable	Not Applicable
	"Arizona"	"04"	"Maricopa County, AZ"	"04013"	"2009"	"2009"	"Aug., 2009"	"2009/08"	"White"	"2106-3"	22	Not Applicable	Not Applicable
	"Arizona"	"04"	"Maricopa County, AZ"	"04013"	"2009"	"2009"	"Sep., 2009"	"2009/09"	"White"	"2106-3"	25	Not Applicable	Not Applicable
	"Arizona"	"04"	"Maricopa County, AZ"	"04013"	"2009"	"2009"	"Oct., 2009"	"2009/10"	"White"	"2106-3"	20	Not Applicable	Not Applicable
	"Arizona"	"04"	"Maricopa County, AZ"	"04013"	"2009"	"2009"	"Nov., 2009"	"2009/11"	"White"	"2106-3"	26	Not Applicable	Not Applicable
	"Arizona"	"04"	"Maricopa County, AZ"	"04013"	"2009"	"2009"	"Dec., 2009"	"2009/12"	"White"	"2106-3"	30	Not Applicable	Not Applicable
	"Arizona"	"04"	"Maricopa County, AZ"	"04013"	"2010"	"2010"	"Jan., 2010"	"2010/01"	"White"	"2106-3"	21	Not Applicable	Not Applicable
	"Arizona"	"04"	"Maricopa County, AZ"	"04013"	"2010"	"2010"	"Feb., 2010"	"2010/02"	"White"	"2106-3"	14	Not Applicable	Not Applicable
	"Arizona"	"04"	"Maricopa County, AZ"	"04013"	"2010"	"2010"	"Mar., 2010"	"2010/03"	"White"	"2106-3"	22	Not Applicable	Not Applicable
	"Arizona"	"04"	"Maricopa County, AZ"	"04013"	"2010"	"2010"	"Apr., 2010"	"2010/04"	"White"	"2106-3"	27	Not Applicable	Not Applicable
	"Arizona"	"04"	"Maricopa County, AZ"	"04013"	"2010"	"2010"	"May, 2010"	"2010/05"	"White"	"2106-3"	23	Not Applicable	Not Applicable
	"Arizona"	"04"	"Maricopa County, AZ"	"04013"	"2010"	"2010"	"Jun., 2010"	"2010/06"	"White"	"2106-3"	21	Not Applicable	Not Applicable
	"Arizona"	"04"	"Maricopa County, AZ"	"04013"	"2010"	"2010"	"Jul., 2010"	"2010/07"	"White"	"2106-3"	30	Not Applicable	Not Applicable
	"Arizona"	"04"	"Maricopa County, AZ"	"04013"	"2010"	"2010"	"Aug., 2010"	"2010/08"	"White"	"2106-3"	26	Not Applicable	Not Applicable
	"Arizona"	"04"	"Maricopa County, AZ"	"04013"	"2010"	"2010"	"Sep., 2010"	"2010/09"	"White"	"2106-3"	17	Not Applicable	Not Applicable
	"Arizona"	"04"	"Maricopa County, AZ"	"04013"	"2010"	"2010"	"Oct., 2010"	"2010/10"	"White"	"2106-3"	30	Not Applicable	Not Applicable
	"Arizona"	"04"	"Maricopa County, AZ"	"04013"	"2010"	"2010"	"Nov., 2010"	"2010/11"	"White"	"2106-3"	24	Not Applicable	Not Applicable
