"Notes"	"Multiple Cause of death"	"Multiple Cause of death Code"	"State"	"State Code"	"County"	"County Code"	"Year"	"Year Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Heroin"	"T40.1"	"Kentucky"	"21"	"Jefferson County, KY"	"21111"	"2015"	"2015"	"Sep., 2015"	"2015/09"	11	Not Applicable	Not Applicable
	"Heroin"	"T40.1"	"Kentucky"	"21"	"Jefferson County, KY"	"21111"	"2016"	"2016"	"Dec., 2016"	"2016/12"	16	Not Applicable	Not Applicable
	"Heroin"	"T40.1"	"Maryland"	"24"	"Anne Arundel County, MD"	"24003"	"2016"	"2016"	"May, 2016"	"2016/05"	11	Not Applicable	Not Applicable
	"Heroin"	"T40.1"	"Maryland"	"24"	"Baltimore County, MD"	"24005"	"2015"	"2015"	"Nov., 2015"	"2015/11"	10	Not Applicable	Not Applicable
	"Heroin"	"T40.1"	"Maryland"	"24"	"Baltimore County, MD"	"24005"	"2015"	"2015"	"Dec., 2015"	"2015/12"	10	Not Applicable	Not Applicable
	"Heroin"	"T40.1"	"Maryland"	"24"	"Baltimore County, MD"	"24005"	"2016"	"2016"	"Mar., 2016"	"2016/03"	12	Not Applicable	Not Applicable
	"Heroin"	"T40.1"	"Maryland"	"24"	"Baltimore County, MD"	"24005"	"2016"	"2016"	"Apr., 2016"	"2016/04"	13	Not Applicable	Not Applicable
	"Heroin"	"T40.1"	"Maryland"	"24"	"Baltimore County, MD"	"24005"	"2016"	"2016"	"May, 2016"	"2016/05"	15	Not Applicable	Not Applicable
	"Heroin"	"T40.1"	"Maryland"	"24"	"Baltimore County, MD"	"24005"	"2016"	"2016"	"Jun., 2016"	"2016/06"	24	Not Applicable	Not Applicable
	"Heroin"	"T40.1"	"Maryland"	"24"	"Baltimore County, MD"	"24005"	"2016"	"2016"	"Jul., 2016"	"2016/07"	11	Not Applicable	Not Applicable
	"Heroin"	"T40.1"	"Maryland"	"24"	"Baltimore County, MD"	"24005"	"2016"	"2016"	"Oct., 2016"	"2016/10"	13	Not Applicable	Not Applicable
	"Heroin"	"T40.1"	"Maryland"	"24"	"Baltimore city, MD"	"24510"	"2014"	"2014"	"Nov., 2014"	"2014/11"	13	Not Applicable	Not Applicable
	"Heroin"	"T40.1"	"Maryland"	"24"	"Baltimore city, MD"	"24510"	"2015"	"2015"	"Jan., 2015"	"2015/01"	12	Not Applicable	Not Applicable
	"Heroin"	"T40.1"	"Maryland"	"24"	"Baltimore city, MD"	"24510"	"2015"	"2015"	"Feb., 2015"	"2015/02"	10	Not Applicable	Not Applicable
	"Heroin"	"T40.1"	"Maryland"	"24"	"Baltimore city, MD"	"24510"	"2015"	"2015"	"Jul., 2015"	"2015/07"	11	Not Applicable	Not Applicable
	"Heroin"	"T40.1"	"Maryland"	"24"	"Baltimore city, MD"	"24510"	"2015"	"2015"	"Oct., 2015"	"2015/10"	10	Not Applicable	Not Applicable
	"Heroin"	"T40.1"	"Maryland"	"24"	"Baltimore city, MD"	"24510"	"2015"	"2015"	"Dec., 2015"	"2015/12"	11	Not Applicable	Not Applicable
	"Heroin"	"T40.1"	"Maryland"	"24"	"Baltimore city, MD"	"24510"	"2016"	"2016"	"Mar., 2016"	"2016/03"	11	Not Applicable	Not Applicable
	"Heroin"	"T40.1"	"Maryland"	"24"	"Baltimore city, MD"	"24510"	"2016"	"2016"	"Apr., 2016"	"2016/04"	14	Not Applicable	Not Applicable
	"Heroin"	"T40.1"	"Maryland"	"24"	"Baltimore city, MD"	"24510"	"2016"	"2016"	"May, 2016"	"2016/05"	22	Not Applicable	Not Applicable
	"Heroin"	"T40.1"	"Maryland"	"24"	"Baltimore city, MD"	"24510"	"2016"	"2016"	"Jun., 2016"	"2016/06"	22	Not Applicable	Not Applicable
	"Heroin"	"T40.1"	"Maryland"	"24"	"Baltimore city, MD"	"24510"	"2016"	"2016"	"Jul., 2016"	"2016/07"	22	Not Applicable	Not Applicable
	"Heroin"	"T40.1"	"Maryland"	"24"	"Baltimore city, MD"	"24510"	"2016"	"2016"	"Sep., 2016"	"2016/09"	15	Not Applicable	Not Applicable
	"Heroin"	"T40.1"	"Maryland"	"24"	"Baltimore city, MD"	"24510"	"2016"	"2016"	"Oct., 2016"	"2016/10"	12	Not Applicable	Not Applicable
	"Heroin"	"T40.1"	"Maryland"	"24"	"Baltimore city, MD"	"24510"	"2016"	"2016"	"Nov., 2016"	"2016/11"	14	Not Applicable	Not Applicable
	"Heroin"	"T40.1"	"Maryland"	"24"	"Baltimore city, MD"	"24510"	"2016"	"2016"	"Dec., 2016"	"2016/12"	26	Not Applicable	Not Applicable
	"Heroin"	"T40.1"	"Massachusetts"	"25"	"Essex County, MA"	"25009"	"2014"	"2014"	"Jun., 2014"	"2014/06"	11	Not Applicable	Not Applicable
	"Heroin"	"T40.1"	"Massachusetts"	"25"	"Essex County, MA"	"25009"	"2014"	"2014"	"Oct., 2014"	"2014/10"	12	Not Applicable	Not Applicable
	"Heroin"	"T40.1"	"Massachusetts"	"25"	"Essex County, MA"	"25009"	"2015"	"2015"	"Aug., 2015"	"2015/08"	13	Not Applicable	Not Applicable
	"Heroin"	"T40.1"	"Massachusetts"	"25"	"Essex County, MA"	"25009"	"2015"	"2015"	"Sep., 2015"	"2015/09"	15	Not Applicable	Not Applicable
	"Heroin"	"T40.1"	"Massachusetts"	"25"	"Essex County, MA"	"25009"	"2015"	"2015"	"Nov., 2015"	"2015/11"	10	Not Applicable	Not Applicable
	"Heroin"	"T40.1"	"Massachusetts"	"25"	"Essex County, MA"	"25009"	"2015"	"2015"	"Dec., 2015"	"2015/12"	10	Not Applicable	Not Applicable
	"Heroin"	"T40.1"	"Massachusetts"	"25"	"Essex County, MA"	"25009"	"2016"	"2016"	"Mar., 2016"	"2016/03"	12	Not Applicable	Not Applicable
	"Heroin"	"T40.1"	"Massachusetts"	"25"	"Hampden County, MA"	"25013"	"2016"	"2016"	"Jan., 2016"	"2016/01"	13	Not Applicable	Not Applicable
	"Heroin"	"T40.1"	"Massachusetts"	"25"	"Hampden County, MA"	"25013"	"2016"	"2016"	"Feb., 2016"	"2016/02"	12	Not Applicable	Not Applicable
	"Heroin"	"T40.1"	"Massachusetts"	"25"	"Hampden County, MA"	"25013"	"2016"	"2016"	"Nov., 2016"	"2016/11"	11	Not Applicable	Not Applicable
	"Heroin"	"T40.1"	"Massachusetts"	"25"	"Middlesex County, MA"	"25017"	"2014"	"2014"	"Feb., 2014"	"2014/02"	12	Not Applicable	Not Applicable
	"Heroin"	"T40.1"	"Massachusetts"	"25"	"Middlesex County, MA"	"25017"	"2014"	"2014"	"May, 2014"	"2014/05"	14	Not Applicable	Not Applicable
	"Heroin"	"T40.1"	"Massachusetts"	"25"	"Middlesex County, MA"	"25017"	"2014"	"2014"	"Oct., 2014"	"2014/10"	11	Not Applicable	Not Applicable
	"Heroin"	"T40.1"	"Massachusetts"	"25"	"Middlesex County, MA"	"25017"	"2015"	"2015"	"Jan., 2015"	"2015/01"	11	Not Applicable	Not Applicable
	"Heroin"	"T40.1"	"Massachusetts"	"25"	"Middlesex County, MA"	"25017"	"2015"	"2015"	"Feb., 2015"	"2015/02"	12	Not Applicable	Not Applicable
	"Heroin"	"T40.1"	"Massachusetts"	"25"	"Middlesex County, MA"	"25017"	"2015"	"2015"	"Apr., 2015"	"2015/04"	10	Not Applicable	Not Applicable
	"Heroin"	"T40.1"	"Massachusetts"	"25"	"Middlesex County, MA"	"25017"	"2015"	"2015"	"Oct., 2015"	"2015/10"	17	Not Applicable	Not Applicable
	"Heroin"	"T40.1"	"Massachusetts"	"25"	"Middlesex County, MA"	"25017"	"2016"	"2016"	"Jan., 2016"	"2016/01"	14	Not Applicable	Not Applicable
	"Heroin"	"T40.1"	"Massachusetts"	"25"	"Middlesex County, MA"	"25017"	"2016"	"2016"	"Feb., 2016"	"2016/02"	10	Not Applicable	Not Applicable
	"Heroin"	"T40.1"	"Massachusetts"	"25"	"Middlesex County, MA"	"25017"	"2016"	"2016"	"May, 2016"	"2016/05"	11	Not Applicable	Not Applicable
	"Heroin"	"T40.1"	"Massachusetts"	"25"	"Middlesex County, MA"	"25017"	"2016"	"2016"	"Oct., 2016"	"2016/10"	13	Not Applicable	Not Applicable
	"Heroin"	"T40.1"	"Massachusetts"	"25"	"Norfolk County, MA"	"25021"	"2014"	"2014"	"Dec., 2014"	"2014/12"	10	Not Applicable	Not Applicable
	"Heroin"	"T40.1"	"Massachusetts"	"25"	"Plymouth County, MA"	"25023"	"2015"	"2015"	"Dec., 2015"	"2015/12"	10	Not Applicable	Not Applicable
	"Heroin"	"T40.1"	"Massachusetts"	"25"	"Suffolk County, MA"	"25025"	"2013"	"2013"	"Mar., 2013"	"2013/03"	10	Not Applicable	Not Applicable
	"Heroin"	"T40.1"	"Massachusetts"	"25"	"Suffolk County, MA"	"25025"	"2014"	"2014"	"Jun., 2014"	"2014/06"	11	Not Applicable	Not Applicable
	"Heroin"	"T40.1"	"Massachusetts"	"25"	"Suffolk County, MA"	"25025"	"2015"	"2015"	"Oct., 2015"	"2015/10"	16	Not Applicable	Not Applicable
	"Heroin"	"T40.1"	"Massachusetts"	"25"	"Suffolk County, MA"	"25025"	"2015"	"2015"	"Nov., 2015"	"2015/11"	12	Not Applicable	Not Applicable
	"Heroin"	"T40.1"	"Massachusetts"	"25"	"Suffolk County, MA"	"25025"	"2016"	"2016"	"Apr., 2016"	"2016/04"	12	Not Applicable	Not Applicable
	"Heroin"	"T40.1"	"Massachusetts"	"25"	"Suffolk County, MA"	"25025"	"2016"	"2016"	"Sep., 2016"	"2016/09"	14	Not Applicable	Not Applicable
	"Heroin"	"T40.1"	"Massachusetts"	"25"	"Worcester County, MA"	"25027"	"2014"	"2014"	"Aug., 2014"	"2014/08"	10	Not Applicable	Not Applicable
	"Heroin"	"T40.1"	"Massachusetts"	"25"	"Worcester County, MA"	"25027"	"2015"	"2015"	"Mar., 2015"	"2015/03"	11	Not Applicable	Not Applicable
	"Heroin"	"T40.1"	"Massachusetts"	"25"	"Worcester County, MA"	"25027"	"2015"	"2015"	"Jun., 2015"	"2015/06"	13	Not Applicable	Not Applicable
	"Heroin"	"T40.1"	"Massachusetts"	"25"	"Worcester County, MA"	"25027"	"2015"	"2015"	"Aug., 2015"	"2015/08"	12	Not Applicable	Not Applicable
	"Heroin"	"T40.1"	"Massachusetts"	"25"	"Worcester County, MA"	"25027"	"2015"	"2015"	"Sep., 2015"	"2015/09"	18	Not Applicable	Not Applicable
	"Heroin"	"T40.1"	"Massachusetts"	"25"	"Worcester County, MA"	"25027"	"2016"	"2016"	"Feb., 2016"	"2016/02"	10	Not Applicable	Not Applicable
	"Heroin"	"T40.1"	"Massachusetts"	"25"	"Worcester County, MA"	"25027"	"2016"	"2016"	"Jul., 2016"	"2016/07"	10	Not Applicable	Not Applicable
	"Heroin"	"T40.1"	"Massachusetts"	"25"	"Worcester County, MA"	"25027"	"2016"	"2016"	"Sep., 2016"	"2016/09"	10	Not Applicable	Not Applicable
	"Heroin"	"T40.1"	"Michigan"	"26"	"Macomb County, MI"	"26099"	"2009"	"2009"	"Feb., 2009"	"2009/02"	11	Not Applicable	Not Applicable
	"Heroin"	"T40.1"	"Michigan"	"26"	"Macomb County, MI"	"26099"	"2011"	"2011"	"Sep., 2011"	"2011/09"	13	Not Applicable	Not Applicable
	"Heroin"	"T40.1"	"Michigan"	"26"	"Macomb County, MI"	"26099"	"2013"	"2013"	"May, 2013"	"2013/05"	11	Not Applicable	Not Applicable
	"Heroin"	"T40.1"	"Michigan"	"26"	"Macomb County, MI"	"26099"	"2013"	"2013"	"Jun., 2013"	"2013/06"	16	Not Applicable	Not Applicable
	"Heroin"	"T40.1"	"Michigan"	"26"	"Macomb County, MI"	"26099"	"2013"	"2013"	"Jul., 2013"	"2013/07"	14	Not Applicable	Not Applicable
	"Heroin"	"T40.1"	"Michigan"	"26"	"Macomb County, MI"	"26099"	"2013"	"2013"	"Oct., 2013"	"2013/10"	11	Not Applicable	Not Applicable
